caller,callee,timestamp,duration,tower_id,call_type,lat,lon
9812345676,9812345675,2026-08-09 21:27:00,253,TWR-DEL-114,OUTGOING,,
9812345672,9812345671,2026-08-09 21:39:00,172,TWR-GGN-051,OUTGOING,,
9812345673,9812345671,2026-08-09 22:58:00,267,TWR-DEL-114,OUTGOING,,
9812345673,9812345676,2026-08-10 00:58:00,226,TWR-DEL-114,OUTGOING,,
9812345675,9812345676,2026-08-10 02:20:00,246,TWR-DEL-207,OUTGOING,,
9812345674,9812345673,2026-08-10 05:35:00,168,TWR-DEL-114,OUTGOING,,
9812345674,9812345675,2026-08-10 18:30:00,191,TWR-NOI-083,OUTGOING,,
9812345671,9812345674,2026-08-10 19:40:00,264,TWR-NOI-083,OUTGOING,,
9812345675,9812345671,2026-08-10 19:54:00,207,TWR-DEL-207,OUTGOING,,
9812345671,9812345670,2026-08-10 21:16:00,158,TWR-NOI-083,OUTGOING,,
9812345672,9812345674,2026-08-10 23:00:00,164,TWR-GGN-051,OUTGOING,,
9812345671,9812345675,2026-08-10 23:05:00,271,TWR-NOI-083,OUTGOING,,
9812345676,9812345672,2026-08-11 02:28:00,264,TWR-DEL-114,OUTGOING,,
9812345675,9812345676,2026-08-11 04:08:00,58,TWR-NOI-083,OUTGOING,,
9812345674,9812345673,2026-08-11 11:30:00,127,TWR-DEL-114,OUTGOING,,
9812345670,9812345675,2026-08-11 11:30:00,182,TWR-GGN-051,OUTGOING,,
9812345670,9812345673,2026-08-11 13:30:00,171,TWR-DEL-114,OUTGOING,,
9812345674,9812345676,2026-08-11 18:30:00,126,TWR-GGN-051,OUTGOING,,
9812345675,9812345670,2026-08-11 18:36:00,145,TWR-NOI-083,OUTGOING,,
9812345673,9812345675,2026-08-11 23:55:00,108,TWR-NOI-083,OUTGOING,,
9812345674,9812345675,2026-08-12 00:27:00,119,TWR-DEL-114,OUTGOING,,
9812345672,9812345671,2026-08-12 00:42:00,225,TWR-DEL-114,OUTGOING,,
9812345670,9812345674,2026-08-12 01:19:00,225,TWR-DEL-114,OUTGOING,,
9812345673,9812345675,2026-08-12 03:29:00,133,TWR-NOI-083,OUTGOING,,
9812345670,9812345676,2026-08-12 10:30:00,65,TWR-NOI-083,OUTGOING,,
9812345670,9812345674,2026-08-12 22:21:00,188,TWR-NOI-083,OUTGOING,,
9812345670,9812345672,2026-08-13 00:41:00,170,TWR-DEL-114,OUTGOING,,
9812345676,9812345672,2026-08-13 00:43:00,184,TWR-DEL-207,OUTGOING,,
9812345673,9812345674,2026-08-13 01:03:00,84,TWR-DEL-114,OUTGOING,,
9812345673,9812345671,2026-08-13 04:09:00,158,TWR-DEL-207,OUTGOING,,
9812345674,9812345672,2026-08-13 20:25:00,145,TWR-DEL-114,OUTGOING,,
9812345673,9812345670,2026-08-14 00:22:00,117,TWR-NOI-083,OUTGOING,,
9812345673,9812345672,2026-08-14 00:52:00,274,TWR-GGN-051,OUTGOING,,
9812345675,9812345672,2026-08-14 01:40:00,118,TWR-DEL-207,OUTGOING,,
9812345670,9812345672,2026-08-14 01:43:00,153,TWR-NOI-083,OUTGOING,,
9812345675,9812345673,2026-08-14 01:57:00,109,TWR-DEL-114,OUTGOING,,
9812345675,9812345670,2026-08-14 03:43:00,159,TWR-DEL-207,OUTGOING,,
9812345671,9812345675,2026-08-14 04:53:00,27,TWR-NOI-083,OUTGOING,,
9812345670,9812345671,2026-08-14 20:45:00,18,TWR-DEL-114,OUTGOING,,
9812345670,9812345672,2026-08-14 20:51:00,75,TWR-DEL-114,OUTGOING,,
9812345670,9812345673,2026-08-14 20:57:00,73,TWR-DEL-114,OUTGOING,,
9812345670,9812345675,2026-08-14 21:03:00,56,TWR-DEL-114,OUTGOING,,
9812345670,9812345676,2026-08-14 21:09:00,19,TWR-DEL-114,OUTGOING,,
9812345670,9812345672,2026-08-14 21:15:00,37,TWR-DEL-114,OUTGOING,,
9812345670,9812345671,2026-08-14 21:21:00,90,TWR-DEL-114,OUTGOING,,
9812345674,9812345675,2026-08-14 21:30:00,70,TWR-DEL-114,OUTGOING,,
9812345670,9812345676,2026-08-14 21:30:00,40,TWR-DEL-114,OUTGOING,28.53548,77.241272
9812345674,9812345676,2026-08-14 21:33:00,34,TWR-DEL-114,OUTGOING,28.535696,77.241371
9812345674,9812345675,2026-08-14 21:34:00,63,TWR-DEL-114,OUTGOING,,
9812345670,9812345676,2026-08-14 21:36:00,23,TWR-DEL-114,OUTGOING,28.535744,77.241177
9812345674,9812345675,2026-08-14 21:38:00,69,TWR-DEL-114,OUTGOING,,
9812345674,9812345676,2026-08-14 21:39:00,36,TWR-DEL-114,OUTGOING,28.535404,77.241271
